id,type,title,description,thumbnail,content_url,created_at,updated_at,album_id,artist,contributor,status
movie.3.idiots,movie,3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",plex.movie.poster.3.idiots.hindi.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 04:29:48.290527+00,2026-01-10 04:29:48.290527+00,,,,true
movie.aavesham,movie,Aavesham,A gangster boss often makes merry with his goons at the liquor bar when not involved in fights with locals over some issues. He becomes protective of three students of the local college who approach him for help as they are being troubled by their college seniors. .,plex.movie.poster.aavesham.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 02:28:21.938436+00,2026-01-10 02:28:21.938436+00,,,,true
movie.adios.amigo,movie,Adios Amigo,"At a bustling bus stand, two men from contrasting social strata cross paths. One basks in affluence, the other grapples with life's challenges. Together, they embark on a journey laced with humor and unexpected adventures.",plex.movie.poster.adios.amigo.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:07:46.392148+00,2026-01-10 01:07:46.392148+00,,,,true
movie.agent.sai.srinivasa.athreya,movie,Agent Sai Srinivasa Athreya,Agent Athreya (Navin Polisetty) starts a detective agency in Nellore (a city) named FBI (Fathima Bureau of Investigation) and covers small cases. The silliness and façade continue until Athreya lands in trouble when he seriously pursues a dead found on the rails. How Athreya untangles the mystery is what the film is all about.,plex.movie.poster.agent.sai.srinivasa.athreya.telugu.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 03:46:43.36006+00,2026-01-10 03:46:43.36006+00,,,,true
movie.akhanda.2,movie,Akhanda 2,"When all hope died, Akhanda arrived. He saved his family, protected his people, killed the wrongdoers, and retreated into isolation. But years later, new threats emerge putting the world in danger. And as the world burns, Akhanda returns.",plex.movie.poster.akhanda.2.7e2v9p4,"[{""url"":""https://flixer.sh/watch/movie/1372588"",""title"":""Telungu""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-16 10:16:10.553313+00,2026-01-16 10:16:10.553313+00,,,,true
movie.alappuzha.gymkhana,movie,Alappuzha Gymkhana,"A group of youngsters, after failing their plus two exams, Aims to join a common college through the sports quota. They choose boxing as their sport. By luck, they manage to survive the district-level competitions. But what will happen at the higher levels?.",plex.movie.poster.alappuzha.gymkhana.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:08:55.950882+00,2026-01-10 01:08:55.950882+00,,,,true
movie.anaparambile.world.cup,movie,Aanaparambile World Cup,"A small village in the northern part of Kerala is getting ready to witness the football World Cup. The life of a nine-year-old boy, an ardent football fan, is transformed when an unexpected guest arrives in his life.",plex.movie.poster.anaparambile.world.cup.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:06:37.560881+00,2026-01-10 01:06:37.560881+00,,,,true
movie.anchakkallakokkan,movie,Anchakkallakokkan,In a small country town a cowardly police constable must survive his first days of duty when a convicted felon in lock up tries to seek revenge.,plex.movie.poster.anchakkallakokkan.malayalam.7e2v9p4,"[{""id"":""movie.anchakkallakokkan.malayalam.7e2v9p4"",""title"":""Malayalam""},{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 01:10:34.765163+00,2026-01-10 01:10:34.765163+00,,,,true
movie.andhadhun,movie,Andhadhun,Akash a blind pianist is preparing for a London concert.Sophie's scooter bumps into Akash and upon finding he a pianist she takes him to her restaurant Franco's run by her father and offers him a job.Akash meets 70s actor Pramod Sinha at the restaurant who asks him to do a private concert of his songs at his residence to surprise his wife Simi. Next Day upon reaching his house a shocking surprise is waiting for Akash.,plex.movie.poster.andhadhun.hindi.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 04:28:39.373648+00,2026-01-10 04:28:39.373648+00,,,,true
movie.angamaly.diaries,movie,Angamaly Diaries,"Vincent Pepe who wanted to be a powerful leader of a righteous gang that ruled the city, like his seniors. And then there's the rival clan with the malicious gangsters of Angamaly a locale on which the film is based.",plex.movie.poster.angamaly.diaries.malayalam.7e2v9p4,"[{""url"":""https://t.me/TGMovies3Bot"",""title"":""Telegram bot for all quality and lang.""}]",2026-01-10 02:24:06.175957+00,2026-01-10 02:24:06.175957+00,,,,true
